"vec_names","male_name"
"1","Айдар",1
"2","Алевтина",0
"3","Александр",1
"4","Александра",0
"5","Алексей",1
"6","Алина",0
"7","Анастасия",0
"8","Андраник",1
"9","Андрей",1
"10","Анна",0
"11","Антон",1
"12","Арина",0
"13","Арман",1
"14","Арсений",1
"15","Артем",1
"16","Артём",1
"17","Артур",1
"18","Вадим",1
"19","Валентина",0
"20","Валерий",1
"21","Валерия",0
"22","Василий",1
"23","Вера",0
"24","Вероника",0
"25","Виктор",1
"26","Виталий",1
"27","Владимир",1
"28","Владислав",1
"29","Вячеслав",1
"30","Гайсар",1
"31","Галина",0
"32","Георгий",1
"33","Григорий",1
"34","Давид",1
"35","Дарья",0
"36","Денис",1
"37","Диана",0
"38","Дмитрий",1
"39","Евгений",1
"40","Егор",1
"41","Екатерина",0
"42","Елена",0
"43","Елизавета",0
"44","Иван",1
"45","Игорь",1
"46","Илья",1
"47","Инга",0
"48","Инна",0
"49","Ирада",0
"50","Ираклий",1
"51","Ирина",0
"52","Карина",0
"53","Кирилл",0
"54","Константин",1
"55","Кристина",0
"56","Ксения",0
"57","Леонид",1
"58","Любовь",0
"59","Максим",1
"60","Марат",1
"61","Маргарита",0
"62","Марина",0
"63","Мария",0
"64","Марк",1
"65","Месроп",1
"66","Михаил",1
"67","Мухадин",1
"68","Найля",0
"69","Нармина",0
"70","Наталия",0
"71","Наталья",0
"72","Никита",1
"73","Николай",1
"74","Нияз",1
"75","Олег",1
"76","Ольга",0
"77","Пётр",1
"78","Регина",0
"79","Ренат",1
"80","Роман",1
"81","Светлана",0
"82","Святослав",1
"83","Сергей",1
"84","София",0
"85","Станислав",1
"86","Сурен",1
"87","Татьяна",0
"88","Тойлы",0
"89","Фатима",0
"90","Федор",1
"91","Элеонора",0
"92","Юлия",0
