day,mean_temp,min_temp,max_temp,precip,pressure,wind,max_wind,snow,dew_point,visibility,humidity,o2
1,-0.9,-2,0.5,0,1025.6,0.6,1,3,-2.6,-,89.7,312.8
2,1.4,0,2.6,0,1026.5,1.9,3,3,0.1,-,92.2,310.1
3,3.1,1,4.8,0.5,1014.5,1.6,2,-,2.2,-,94.6,304.4
4,8.1,3,9.8,0.1,1010,1.1,2,-,6.5,-,90.9,297.1
5,7.4,5,9.4,0.4,1010.4,1.5,3,-,5.2,-,87.6,298
6,7.8,5,10,2.6,994.3,1.7,3,-,6.8,-,94.2,292.8
7,4.1,3,4.9,0.1,-,1.2,2,-,0.9,-,82,298.7
8,1.9,1,2.8,0.2,1002.4,1.5,2,-,0.4,-,91,302.2
9,2.6,0,6.5,0.5,1006.6,1.6,4,-,1.5,-,93.4,302.7
10,-2.3,-5,0.4,0,1025.9,0.9,2,-,-3.9,-,90.2,314.7
11,-1.6,-5,0.9,0,1032,0.9,2,-,-3.9,-,86.2,315.6
12,2.9,0,4.8,0.1,1020.6,1.1,2,-,1.5,-,91.7,306.5
13,3.9,2,6,0,1019.6,1.4,2,-,1.4,-,85.6,305
14,2.1,0,3.3,0.1,1022.4,1.6,2,-,-1.3,-,80.7,308
15,4.6,2,5.4,0.1,1012.4,1.6,2,-,3.7,-,94.6,302
16,4.4,4,5.4,0.2,1014.8,1.5,2,-,1.7,-,84.6,302.9
17,3.8,3,4.6,0,1023.8,1,1,-,1.5,-,86.7,306.3
18,1.7,0,3.3,0,1025.3,0.9,1,-,-1.3,-,82.8,309.4
19,-0.4,-1,0.4,0,1024.2,1.1,2,-,-2.1,-,89.7,311.7
20,1.7,0,2.8,0,1031.2,0.9,1,-,-0.6,-,86.5,311.2
21,2.1,0,3.4,0,1035.2,0.6,1,-,-0.2,-,86.6,311.9
22,3.5,3,4.8,0,1036.8,0.6,1,-,-0.4,-,78.4,310.6
23,1.7,-1,3.2,0,1033.2,1,1,-,-2.3,-,77.6,311.8
24,-2.6,-4,-1.8,0,1029.8,0.4,1,-,-3.8,-,92.5,316.3
25,-4.4,-5,-3.6,0,1026.1,1.1,2,-,-5.9,-,90.6,317.5
26,-1.8,-5,-0.4,0.1,1016.2,0.8,1,-,-3,-,92.6,311.1
27,0.3,-1,0.8,0,1016,0.8,1,1,-1,-,92.1,308.3
28,-1.1,-3,0.2,0.7,1016.5,1.4,2,1,-2.1,-,93.8,310.3
29,-3.7,-5,-2.6,2.1,1011.7,2.5,4,15,-4.4,-,95.5,312.1
30,-2.2,-6,3.5,1.2,1003.4,1.6,3,22.1,-2.4,-,98.7,307.7
-,,,,,,,,,,,,
